metabolomics_id	hmmf_panel	ms_type	compound	pubchem_id	value	value_ug_ml	value_mm	value_um
1000010.1	BileAcid	quant	12-oxochenodeoxycholic acid	94235	0.0	0.0	0.0	0.0
1000010.1	BileAcid	quant	3-oxocholic acid	5283956	0.0	0.0	0.0	0.0
1000010.1	BileAcid	quant	3-oxolithocholic acid	5283906	0.01667	0.01667	0.00004449	0.04449
1000010.1	BileAcid	quant	7-oxodeoxycholic acid	188292	0.0	0.0	0.0	0.0
1000010.1	BileAcid	quant	allocholic acid	160636	0.0	0.0	0.0	0.0
1000010.1	BileAcid	quant	alloisolithocholic acid	94228	0.0	0.0	0.0	0.0
1000010.1	BileAcid	quant	alpha-muricholic acid	5283852	0.0	0.0	0.0	0.0
1000010.1	BileAcid	quant	beta-muricholic acid	5283853	0.0	0.0	0.0	0.0
1000010.1	BileAcid	quant	chenodeoxycholic acid	10133	0.0	0.0	0.0	0.0
1000010.1	BileAcid	quant	cholic acid	221493	0.0	0.0	0.0	0.0
1000010.1	BileAcid	quant	deoxycholic acid	222528	0.0	0.0	0.0	0.0
1000010.1	BileAcid	quant	glycochenodeoxycholic acid	12544	62.66	62.66	0.13936833	139.36833
1000010.1	BileAcid	quant	glycocholic acid	10140	55.58667	55.58667	0.11938717	119.38717
1000010.1	BileAcid	quant	glycodeoxycholic acid	3035026	0.28	0.28	0.00062278	0.62278
1000010.1	BileAcid	quant	glycolithocholic acid	115245	0.0	0.0	0.0	0.0
1000010.1	BileAcid	quant	glycoursodeoxycholic acid	12310288	0.0	0.0	0.0	0.0
1000010.1	BileAcid	quant	isochenodeoxycholic acid		0.0	0.0		
1000010.1	BileAcid	quant	isodeoxycholic acid	164672	0.0	0.0	0.0	0.0
1000010.1	BileAcid	quant	isolithocholic acid	164853	0.0	0.0	0.0	0.0
1000010.1	BileAcid	quant	lithocholic acid	9903	0.0	0.0	0.0	0.0
1000010.1	BileAcid	quant	taurochenodeoxycholic acid	387316	223.09	223.09	0.44644787	446.44787
1000010.1	BileAcid	quant	taurocholic acid	6675	205.49	205.49	0.3984681	398.4681
1000010.1	BileAcid	quant	taurodeoxycholic acid	2733768	0.0	0.0	0.0	0.0
1000010.1	BileAcid	quant	taurolithocholic acid	439763	0.0	0.0	0.0	0.0
1000010.1	BileAcid	quant	tauroursodeoxycholic acid	9848818	0.0	0.0	0.0	0.0
1000010.1	BileAcid	quant	ursodeoxycholic acid	31401	0.0	0.0	0.0	0.0
1000010.1	Tryptophan	quant	5hiaa	1826	2.37	0.4531	0.00237	2.37
1000010.1	Tryptophan	quant	anthranilic acid	227	0.03	0.00411	0.00003	0.03
1000010.1	Tryptophan	quant	indole-3-acetamide	397	0.0	0.0	0.0	0.0
1000010.1	Tryptophan	quant	indole-3-acetate	801	0.65	0.11322	0.00065	0.65
