seq_id	clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads	filename	database_used	kingdom	phylum	class	order	family	genus	species	sgb	taxid	taxonomy	clean_relative_abundance
1000004.1	k__Bacteria|p__Bacteria_unclassified	2|	0.28175	0.02237	50072	1000004.1_R1_kneaddata.fastq.gz	mpa_vJun23_CHOCOPhlAnSGB_202403	k__Bacteria	p__Bacteria_unclassified								phylum	0.32138327467827
1000003.1	UNCLASSIFIED	-1	12.7955		4290303	1000003.1_R1_kneaddata.fastq.gz	mpa_vJun23_CHOCOPhlAnSGB_202403	UNCLASSIFIED									kingdom	
1000003.1	k__Bacteria|p__Bacteroidota	2|976	0.95133	0.05116	154822	1000003.1_R1_kneaddata.fastq.gz	mpa_vJun23_CHOCOPhlAnSGB_202403	k__Bacteria	p__Bacteroidota							976	phylum	1.09091847324392
1000003.1	k__Bacteria|p__Fusobacteria	2|32066	0.03727	0.002	4921	1000003.1_R1_kneaddata.fastq.gz	mpa_vJun23_CHOCOPhlAnSGB_202403	k__Bacteria	p__Fusobacteria							32066	phylum	0.04273862014001
1000006.3	k__Bacteria|p__Actinobacteria	2|201174	3.51512	0.2096	507076	1000006.3_R1_kneaddata.fastq.gz	mpa_vJun23_CHOCOPhlAnSGB_202403	k__Bacteria	p__Actinobacteria							201174	phylum	4.34008029183111
1000002.1	k__Archaea|p__Thaumarchaeota	2157|651137	0.04996	0.0018	4128	1000002.1_R1_kneaddata_paired_1.fastq.gz,1000002.1_R1_kneaddata_paired_2.fastq.gz	mpa_vOct22_CHOCOPhlAnSGB_202212	k__Archaea	p__Thaumarchaeota							651137	phylum	0.0627654276566800
1000006.3	k__Bacteria|p__Proteobacteria	2|1224	3.00779	0.17935	886929	1000006.3_R1_kneaddata.fastq.gz	mpa_vJun23_CHOCOPhlAnSGB_202403	k__Bacteria	p__Proteobacteria							1224	phylum	3.7136854790068905
1000006.3	k__Bacteria|p__Firmicutes	2|1239	74.46914	4.44042	13841711	1000006.3_R1_kneaddata.fastq.gz	mpa_vJun23_CHOCOPhlAnSGB_202403	k__Bacteria	p__Firmicutes							1239	phylum	91.946234229162
1000002.1	k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	47.9616	1.72991	5108429	1000002.1_R1_kneaddata_paired_1.fastq.gz,1000002.1_R1_kneaddata_paired_2.fastq.gz	mpa_vOct22_CHOCOPhlAnSGB_202212	k__Bacteria	p__Firmicutes	c__Clostridia						186801	class	60.2548105504211300
1000001.2	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2|1239|91061|186826|1300	0.07166	0.0054	10175	1000001.2_R1_kneaddata.fastq.gz	mpa_vJun23_CHOCOPhlAnSGB_202403	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae				1300.0	family	0.07598254840122999
1000005.1	UNCLASSIFIED	-1	15.56992		3777275	1000005.1_R1_kneaddata.fastq.gz	mpa_vJun23_CHOCOPhlAnSGB_202403	UNCLASSIFIED									kingdom	
1000001.2	UNCLASSIFIED	-1	5.68887		3191183	1000001.2_R1_kneaddata.fastq.gz	mpa_vJun23_CHOCOPhlAnSGB_202403	UNCLASSIFIED								-1.0	kingdom	0.0
1000001.2	k__Bacteria	2	94.31113	7.11042	18418835	1000001.2_R1_kneaddata.fastq.gz	mpa_vJun23_CHOCOPhlAnSGB_202403	k__Bacteria								2.0	kingdom	100.0
1000001.2	k__Bacteria|p__Actinobacteria	2|201174	49.78237	3.75325	9041564	1000001.2_R1_kneaddata.fastq.gz	mpa_vJun23_CHOCOPhlAnSGB_202403	k__Bacteria	p__Actinobacteria							201174.0	phylum	52.785254508137044
1000001.2	k__Bacteria|p__Firmicutes	2|1239	44.46105	3.35206	9352027	1000001.2_R1_kneaddata.fastq.gz	mpa_vJun23_CHOCOPhlAnSGB_202403	k__Bacteria	p__Firmicutes							1239.0	phylum	47.14295120840986
1000001.2	k__Bacteria|p__Proteobacteria	2|1224	0.06771	0.0051	25244	1000001.2_R1_kneaddata.fastq.gz	mpa_vJun23_CHOCOPhlAnSGB_202403	k__Bacteria	p__Proteobacteria							1224.0	phylum	0.07179428345307
1000001.2	k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	49.78237	3.75325	9041564	1000001.2_R1_kneaddata.fastq.gz	mpa_vJun23_CHOCOPhlAnSGB_202403	k__Bacteria	p__Actinobacteria	c__Actinomycetia						1760.0	class	52.785254508137044
1000001.2	k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	44.45932	3.35193	9351758	1000001.2_R1_kneaddata.fastq.gz	mpa_vJun23_CHOCOPhlAnSGB_202403	k__Bacteria	p__Firmicutes	c__Bacilli						91061.0	class	47.14111685439459
1000001.2	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.06771	0.0051	25244	1000001.2_R1_kneaddata.fastq.gz	mpa_vJun23_CHOCOPhlAnSGB_202403	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria						1236.0	class	0.07179428345307
1000001.2	k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.00173	0.00013	269	1000001.2_R1_kneaddata.fastq.gz	mpa_vJun23_CHOCOPhlAnSGB_202403	k__Bacteria	p__Firmicutes	c__Negativicutes						909932.0	class	0.0018343540152683992
1000001.2	k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	49.51044	3.73275	8989370	1000001.2_R1_kneaddata.fastq.gz	mpa_vJun23_CHOCOPhlAnSGB_202403	k__Bacteria	p__Actinobacteria	c__Actinomycetia	o__Bifidobacteriales					85004.0	order	52.496921625263106
1000001.2	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	44.45932	3.35193	9351758	1000001.2_R1_kneaddata.fastq.gz	mpa_vJun23_CHOCOPhlAnSGB_202403	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales					186826.0	order	47.14111685439459
1000001.2	k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	2|201174|1760|2037	0.27193	0.0205	52194	1000001.2_R1_kneaddata.fastq.gz	mpa_vJun23_CHOCOPhlAnSGB_202403	k__Bacteria	p__Actinobacteria	c__Actinomycetia	o__Actinomycetales					2037.0	order	0.28833288287395
1000001.2	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.06771	0.0051	25244	1000001.2_R1_kneaddata.fastq.gz	mpa_vJun23_CHOCOPhlAnSGB_202403	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales					91347.0	order	0.07179428345307
1000001.2	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.00173	0.00013	269	1000001.2_R1_kneaddata.fastq.gz	mpa_vJun23_CHOCOPhlAnSGB_202403	k__Bacteria	p__Firmicutes	c__Negativicutes	o__Veillonellales					1843489.0	order	0.0018343540152683992
1000001.2	k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	49.51044	3.73275	8989370	1000001.2_R1_kneaddata.fastq.gz	mpa_vJun23_CHOCOPhlAnSGB_202403	k__Bacteria	p__Actinobacteria	c__Actinomycetia	o__Bifidobacteriales	f__Bifidobacteriaceae				31953.0	family	52.496921625263106
1000001.2	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	2|1239|91061|186826|81852	44.38766	3.34653	9341583	1000001.2_R1_kneaddata.fastq.gz	mpa_vJun23_CHOCOPhlAnSGB_202403	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Enterococcaceae				81852.0	family	47.065134305993354
1000001.2	k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae	2|201174|1760|2037|2049	0.27193	0.0205	52194	1000001.2_R1_kneaddata.fastq.gz	mpa_vJun23_CHOCOPhlAnSGB_202403	k__Bacteria	p__Actinobacteria	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae				2049.0	family	0.28833288287395
1000001.2	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecium|t__SGB7967	2|1239|91061|186826|81852|1350|1352|	43.61829	3.28852	9172461	1000001.2_R1_kneaddata.fastq.gz	mpa_vJun23_CHOCOPhlAnSGB_202403	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus	s__Enterococcus_faecium	t__SGB7967		sgb	46.249355722914146
1000001.2	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecalis|t__SGB7962	2|1239|91061|186826|81852|1350|1351|	0.76937	0.05801	169122	1000001.2_R1_kneaddata.fastq.gz	mpa_vJun23_CHOCOPhlAnSGB_202403	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus	s__Enterococcus_faecalis	t__SGB7962		sgb	0.81577858307921
1000001.2	k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Schaalia|s__Schaalia_SGB17153|t__SGB17153	2|201174|1760|2037|2049|2529408||	0.27193	0.0205	52194	1000001.2_R1_kneaddata.fastq.gz	mpa_vJun23_CHOCOPhlAnSGB_202403	k__Bacteria	p__Actinobacteria	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Schaalia	s__Schaalia_SGB17153	t__SGB17153		sgb	0.28833288287395
1000001.2	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli|t__SGB10068	2|1224|1236|91347|543|561|562|	0.06771	0.0051	25244	1000001.2_R1_kneaddata.fastq.gz	mpa_vJun23_CHOCOPhlAnSGB_202403	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia_coli	t__SGB10068		sgb	0.07179428345307
1000001.2	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_australis|t__SGB8059_group	2|1239|91061|186826|1300|1301|113107|	0.0451	0.0034	6591	1000001.2_R1_kneaddata.fastq.gz	mpa_vJun23_CHOCOPhlAnSGB_202403	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus_australis	t__SGB8059_group		sgb	0.047820442825780005
1000001.2	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_thermophilus|t__SGB8002	2|1239|91061|186826|1300|1301|1308|	0.02656	0.002	3584	1000001.2_R1_kneaddata.fastq.gz	mpa_vJun23_CHOCOPhlAnSGB_202403	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus_thermophilus	t__SGB8002		sgb	0.02816210557545
1000001.2	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_parvula|t__SGB6939	2|1239|909932|1843489|31977|29465|29466|	0.00173	0.00013	269	1000001.2_R1_kneaddata.fastq.gz	mpa_vJun23_CHOCOPhlAnSGB_202403	k__Bacteria	p__Firmicutes	c__Negativicutes	o__Veillonellales	f__Veillonellaceae	g__Veillonella	s__Veillonella_parvula	t__SGB6939		sgb	0.0018343540152683992
1000001.2	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	2|1224|1236|91347|543	0.06771	0.0051	25244	1000001.2_R1_kneaddata.fastq.gz	mpa_vJun23_CHOCOPhlAnSGB_202403	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae				543.0	family	0.07179428345307
